X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,GlobalID
-8481390.8,4418336.52,18146,13123502,SENTARA LEIGH HOSPITAL,830 KEMPSVILLE ROAD,NORFOLK,VA,23502,NOT AVAILABLE,(757) 261-6000,GENERAL ACUTE CARE,OPEN,250,NORFOLK,51710,USA,36.8508427,-76.189629,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/leigh/pages/leigh.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,250,NOT AVAILABLE,Y,{A3AFDAD5-E5AB-4BA8-9CEE-B30805E504A2}
-8705000.7,4711698.73,18147,822630,VALLEY HEALTH WARREN MEMORIAL HOSPITAL,1000 SHENANDOAH AVENUE,FRONT ROYAL,VA,22630,NOT AVAILABLE,(540) 636-0300,GENERAL ACUTE CARE,OPEN,60,WARREN,51187,USA,38.9303431,-78.198351,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.valleyhealthlink.com/wmh,NOT AVAILABLE,WARREN MEMORIAL HOSPITAL,51,NON-PROFIT,-999,60,NOT AVAILABLE,Y,{872C1F03-C4E6-49C1-B502-E1E41C53D5D3}
-8504023.2,4437168.42,18148,13723607,HAMPTON ROADS SPECIALTY HOSPITAL,245 CHESAPEAKE AVENUE,NEWPORT NEWS,VA,23607,NOT AVAILABLE,(757) 534-5000,LONG TERM CARE,OPEN,25,NEWPORT NEWS,51700,USA,36.9860924,-76.392941,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.hamptonroadsspecialtyhospital.com/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,N,{FF268C28-D9F9-49CB-ABCB-12C14DF8DF5D}
-8907612.6,4477362.44,18151,5024153,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,NOT AVAILABLE,(540) 982-2460,MILITARY,OPEN,288,SALEM,51775,USA,37.2739604,-80.018445,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.salem.va.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,288,NOT AVAILABLE,N,{2E40BBE6-FE38-471C-B0AF-EA42531065D3}
-8509473.3,4420803.31,18152,15623435,BON SECOURS HEALTH CENTER AT HARBOUR VIEW,5818 HARBOUR VIEW BOULEVARD,SUFFOLK,VA,23435,NOT AVAILABLE,(757) 673-5800,GENERAL ACUTE CARE,OPEN,-999,SUFFOLK,51800,USA,36.8685726,-76.441899,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.bonsecourshamptonroads.com/find-a-facility-harbour-view-health-center.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,-999,NOT AVAILABLE,N,{ABA8DA62-680A-4E58-8CF7-2FF4306A7AA2}
-8526467.4,4405782.76,18153,15723434,LAKEVIEW MEDICAL CENTER,2000 MEADE PARKWAY,SUFFOLK,VA,23434,NOT AVAILABLE,(757) 539-0250,GENERAL ACUTE CARE,OPEN,-999,SUFFOLK,51800,USA,36.7605491,-76.59456,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.lakeviewmed.org/index.cfm/fuseaction/site.physicians/action/dtl/phys/99842375.cfm,NOT AVAILABLE,LAKEVIEW MEDICAL CENTER,51,NOT AVAILABLE,-999,-999,NOT AVAILABLE,N,{85843EC3-D2D1-45E3-93C3-2963FD7EDD89}
-8631455.4,4397591.57,18154,9623847,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,727 NORTH MAIN STREET,EMPORIA,VA,23847,NOT AVAILABLE,(434) 348-4400,GENERAL ACUTE CARE,OPEN,80,EMPORIA,51595,USA,36.701576,-77.537683,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.svrmc.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,80,NOT AVAILABLE,Y,{A983DB49-FFF0-47DF-997B-A5ADBE7998C6}
-8661665.2,4680610.88,18155,1820186,FAUQUIER HOSPITAL,500 HOSPITAL DRIVE,WARRENTON,VA,20186,NOT AVAILABLE,(540) 347-2550,GENERAL ACUTE CARE,OPEN,97,FAUQUIER,51061,USA,38.712766,-77.809062,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.fauquierhospital.org,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,97,NOT AVAILABLE,Y,{66D52B6B-4EE3-4D14-9B6A-9E9B4B0B2D71}
-9197824.6,4431368.06,18157,6424273,WELLMONT MOUNTAIN VIEW REGIONAL MEDICAL CENTER,"310 3RD STREET, NE",NORTON,VA,24273,NOT AVAILABLE,(276) 679-9100,GENERAL ACUTE CARE,OPEN,133,NORTON,51720,USA,36.94446,-82.625464,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.wellmont.org/our-facilities/hospitals-and-medical-centers/mountain-view-regional-medical-center/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,133,NOT AVAILABLE,Y,{06B2F2B8-9426-477D-BCD5-6791F8AFB4CB}
-9178186.1,4461527.03,18158,6024228,DICKENSON COMMUNITY HOSPITAL AND GREEN OAK BEHAVIORAL HEALTH,312 HOSPITAL DRIVE,CLINTWOOD,VA,24228,NOT AVAILABLE,(276) 926-0300,GENERAL ACUTE CARE,OPEN,25,DICKENSON,51051,USA,37.1606785,-82.449048,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.msha.com/dch.cfm?id=1507,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y,{635A7154-8F83-4974-9D5C-E005BF745F63}
-8585769.3,4705767.32,18159,2622205,VIRGINIA HOSPITAL CENTER,1701 NORTH GEORGE MASON DRIVE,ARLINGTON,VA,22205,NOT AVAILABLE,(703) 558-5000,GENERAL ACUTE CARE,OPEN,334,ARLINGTON,51013,USA,38.8888818,-77.127278,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.virginiahospitalcenter.com/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,334,NOT AVAILABLE,N,{B95547F9-45C1-48E3-8375-C1F754DF266F}
-8541754.6,4483085.78,18160,147123188,THE PAVILION AT WILLIAMSBURG PLACE,5483 MOORETOWN ROAD,WILLIAMSBURG,VA,23188,NOT AVAILABLE,(757) 565-0106,PSYCHIATRIC,OPEN,57,JAMES CITY,51095,USA,37.3148616,-76.731887,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.pavilionwp.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,57,NOT AVAILABLE,N,{D5BFD57D-2BB6-4CD6-B8FE-A957357FB4E9}
-8481371.7,4418649.01,18161,19123502,KEMPSVILLE CENTER FOR BEHAVIORAL HEALTH,860 KEMPSVILLE ROAD,NORFOLK,VA,23502,NOT AVAILABLE,(757) 461-4565,PSYCHIATRIC,OPEN,82,NORFOLK,51710,USA,36.8530889,-76.189458,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.kempsvillecbh.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,82,NOT AVAILABLE,Y,{CACEFC7F-62C0-4C7C-883D-CD58F623E6F7}
-8632463.4,4742436.5,18162,19220176,NORTH SPRING BEHAVIORAL HEALTHCARE,42009 VICTORY LANE,LEESBURG,VA,20176,NOT AVAILABLE,(703) 777-0800,PSYCHIATRIC,OPEN,100,LOUDOUN,51107,USA,39.144816,-77.546738,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.northspringleesburg.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,100,NOT AVAILABLE,N,{001D7274-3FAF-4C89-B419-D8945922E526}
-8644920.2,4504359.18,18164,8423114,BON SECOURS ST. FRANCIS MEDICAL CENTER,13710 ST. FRANCIS BOULEVARD,MIDLOTHIAN,VA,23114,NOT AVAILABLE,(804) 594-7300,GENERAL ACUTE CARE,OPEN,130,CHESTERFIELD,51041,USA,37.4666946,-77.65864,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://richmond.bonsecours.com/find-a-facility-st-francis-medical-center.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,130,NOT AVAILABLE,N,{AAA00BDD-48FF-458F-AD48-A0C0E31ED601}
-8779913.6,4641755.99,18201,422801,ROCKINGHAM MEMORIAL HOSPITAL,235 CANTRELL AVENUE,HARRISONBURG,VA,22801,NOT AVAILABLE,(540) 689-1000,GENERAL ACUTE CARE,CLOSED,270,HARRISONBURG,51660,USA,38.4398952,-78.871306,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vdh.virginia.gov/olc/acutecare/hospitals.htm,2016/08/16 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.rmhonline.com,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,270,NOT AVAILABLE,N,{DD16D543-C046-435E-AAFB-F0567558719F}
-8611608.6,4465251.17,18322,19323805,POPLAR SPRINGS HOSPITAL,350 POPLAR DRIVE,PETERSBURG,VA,23805,NOT AVAILABLE,(804) 733-6874,PSYCHIATRIC,OPEN,208,PETERSBURG,51730,USA,37.1873352,-77.359397,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.poplarsprings.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,208,NOT AVAILABLE,N,{09E88516-0788-4011-BE69-C81C9BE56A27}
-8890773.9,4397267.72,18334,8224112,SOVAH HEALTH-MARTINSVILLE,320 HOSPITAL DRIVE,MARTINSVILLE,VA,24115,NOT AVAILABLE,(276) 666-7200,GENERAL ACUTE CARE,OPEN,223,MARTINSVILLE,51690,USA,36.6992436,-79.86718,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,https://www.sovahhealth.com/patients-visitors/about-us/sovah-health-martinsville,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,223,NOT AVAILABLE,Y,{0BD6801F-82A1-4867-9123-1652BC08C41C}
-8542757,4486089.85,18335,14423188,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,100 SENTARA CIRCLE,WILLIAMSBURG,VA,23188,NOT AVAILABLE,(757) 984-6000,GENERAL ACUTE CARE,OPEN,145,YORK,51199,USA,37.336321,-76.740892,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/williamsburg/pages/williamsburgregionalmedical.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,145,NOT AVAILABLE,Y,{D1C34EB4-1A9B-48C0-ADAE-2FF4B7DC9341}
-8580177.5,4684458.41,18337,3222306,INOVA MOUNT VERNON HOSPITAL,2501 PARKERS LANE,ALEXANDRIA,VA,22306,NOT AVAILABLE,(703) 664-7000,GENERAL ACUTE CARE,OPEN,237,FAIRFAX,51059,USA,38.7397301,-77.077046,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://www.inova.org/patient-and-visitor-information/facilities/inova-mount-vernon-hospital/index.jsp,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,237,NOT AVAILABLE,Y,{F5C0A2D2-A204-4C9A-8A66-00BC7C1ED8BE}
-8558117.3,4565484.56,18338,14922560,RIVERSIDE TAPPAHANNOCK HOSPITAL,618 HOSPITAL ROAD,TAPPAHANNOCK,VA,22560,NOT AVAILABLE,(804) 443-3310,GENERAL ACUTE CARE,OPEN,67,ESSEX,51057,USA,37.901246,-76.878876,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.riverside-online.com/rth,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,67,NOT AVAILABLE,Y,{511E8D3A-5CFF-4B41-A2A9-DAF173C56343}
-8702411.9,4465945.52,18339,20223922,PIEDMONT GERIATRIC HOSPITAL,5001 E. PATRICK HENRY HIGHWAY,BURKEVILLE,VA,23922,427,(434) 767-4401,PSYCHIATRIC,OPEN,123,NOTTOWAY,51135,USA,37.1923042,-78.175096,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.pgh.dbhds.virginia.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,123,NOT AVAILABLE,N,{6DF1A8E9-4738-4D8A-B656-939D4BE44180}
-8798172.7,4598067.98,18342,19922401,COMMONWEALTH CENTER FOR CHILDREN AND ADOLESCENTS,1355 RICHMOND RD,STAUNTON,VA,22401,9124,(540) 332-2100,PSYCHIATRIC,OPEN,48,STAUNTON,51790,USA,38.1318458,-79.035331,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.ccca.dbhds.virginia.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,48,NOT AVAILABLE,N,{407A9211-CDF7-4CC3-9F64-0DFE5518E15E}
-8778151.1,4636767.48,18741,147322801,SENTARA RMH MEDICAL CENTER,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,NOT AVAILABLE,(540) 689-1000,GENERAL ACUTE CARE,OPEN,238,ROCKINGHAM,51165,USA,38.4047868,-78.855473,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.rmhonline.com,NOT AVAILABLE,ROCKINGHAM MEMORIAL HOSPITAL,51,NON-PROFIT,-999,238,NOT AVAILABLE,Y,{F2A74A03-8082-47CF-ADF2-F87EC4185E5F}
-8739992,4703109.48,18742,147522664,VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,759 SOUTH MAIN STREET,WOODSTOCK,VA,22664,NOT AVAILABLE,(540) 459-1100,CRITICAL ACCESS,OPEN,25,SHENANDOAH,51171,USA,38.8702953,-78.512684,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.valleyhealthlink.com,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y,{BD45E8AD-7EF7-4335-8569-75C115D47A4D}
-8649105.3,4510461.32,19379,125,BON SECOURS ST FRANCIS WATKINS CENTRE,601 WATKINS CENTRE PKWY,MIDLOTHIAN,VA,23113,NOT AVAILABLE,(804) 594-7950,GENERAL ACUTE CARE,OPEN,16,CHESTERFIELD,51041,USA,37.5101902,-77.696235,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2015/05/23 00:00:00+00,http://richmond.bonsecours.com/find-a-facility-st-francis-watkins-centre.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,16,NOT AVAILABLE,N,{922AA00B-B9BD-41CA-8F54-FE2B50692513}
-8984932.4,4485635.96,19407,145724134,CARILION GILES COMMUNITY HOSPITAL,159 HARTLEY WAY,PEARISBURG,VA,24134,NOT AVAILABLE,(540) 921-6000,CRITICAL ACCESS,OPEN,25,GILES,51071,USA,37.3330791,-80.713021,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.carilionclinic.org/carilion/cgmh,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y,{5BAEE895-1A59-4E6E-8B10-CB1CED7AF03A}
-8933933.7,4389909.8,19426,8324171,PIONEER COMMUNITY HOSPITAL,18688 JEB STUART HIGHWAY,STUART,VA,24171,NOT AVAILABLE,(276) 694-8680,CRITICAL ACCESS,CLOSED,25,PATRICK,51141,USA,36.6462296,-80.254892,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2016/08/16 00:00:00+00,IMAGERY/OTHER,2019/04/16 00:00:00+00,http://www.phscorporate.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,25,NOT AVAILABLE,N,{A5562202-BD29-4D48-928A-3A96ECED9D7C}
-8569211.9,4515538.42,19429,8923124,CUMBERLAND HOSPITAL FOR CHILDREN AND ADOLESCENTS,9407 CUMBERLAND ROAD,NEW KENT,VA,23124,NOT AVAILABLE,(804) 966-2240,CHILDREN,OPEN,110,NEW KENT,51127,USA,37.54636,-76.978541,622110,"CHILDREN'S HOSPITALS, GENERAL",http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2019/04/16 00:00:00+00,http://cumberlandhospital.com/,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,110,NOT AVAILABLE,N,{406E2C52-F477-454F-9E64-9ECA6BE7FEA2}
-9199662.6,4429765.94,19431,6524273,NORTON COMMUNITY HOSPITAL,100 15TH STREET NORTHWEST,NORTON,VA,24273,NOT AVAILABLE,(276) 679-9600,GENERAL ACUTE CARE,OPEN,129,NORTON,51720,USA,36.9329568,-82.641975,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.nchosp.org/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,129,NOT AVAILABLE,Y,{F7879EF8-1F0D-4F1B-8D21-583EDB9B50A1}
-8471192.6,4407821.25,19434,147423456,SENTARA PRINCESS ANNE HOSPITAL,2025 GLENN MITCHELL DRIVE,VIRGINIA BEACH,VA,23456,NOT AVAILABLE,(757) 507-1520,GENERAL ACUTE CARE,OPEN,160,VIRGINIA BEACH,51810,USA,36.7752182,-76.098018,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.sentara.com/hospitalsfacilities/hospitals/princess-anne/pages/princess-anne.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,160,NOT AVAILABLE,Y,{6BA8EC25-F4F8-4F4C-9F25-31AA2D08C84F}
-8632016.4,4713099.57,19435,19620166,STONE SPRINGS HOSPITAL CENTER,24440 STONE SPRINGS BLVD,DULLES,VA,20166,NOT AVAILABLE,(571) 349-4000,GENERAL ACUTE CARE,OPEN,124,LOUDOUN,51107,USA,38.9401317,-77.542723,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,http://stonespringshospital.com/,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,124,NOT AVAILABLE,Y,{D9781E2B-8BFB-406E-8067-2B643FB7619E}
-8542211.5,4479581.71,19436,20023188,EASTERN STATE HOSPITAL,4601 IRONBOUND ROAD,WILLIAMSBURG,VA,23188,2652,(757) 253-5161,PSYCHIATRIC,OPEN,300,JAMES CITY,51670,USA,37.2898228,-76.735992,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.esh.dbhds.virginia.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,300,NOT AVAILABLE,N,{BE296B15-B376-49A8-B115-17CA7CDB85FA}
-8597430.8,4701335.81,19437,20122042,NORTHERN VIRGINIA MENTAL HEALTH INSTITUTE,3302 GALLOWS ROAD,FALLS CHURCH,VA,22042,3398,(703) 207-7100,PSYCHIATRIC,OPEN,123,FAIRFAX,51059,USA,38.8578892,-77.232035,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.nvmhi.dbhds.virginia.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,123,NOT AVAILABLE,N,{FC12680A-093F-4300-8B90-76C9B4316B6D}
-8611592.7,4464574.58,19602,9723805,SOUTHSIDE REGIONAL MEDICAL CENTER,200 MEDICAL PARK BOULEVARD,PETERSBURG,VA,23805,NOT AVAILABLE,(804) 765-5000,GENERAL ACUTE CARE,OPEN,300,PETERSBURG,51730,USA,37.182493,-77.359254,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2013/11/11 00:00:00+00,www.srmconline.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,300,LEVEL III,Y,{D48A67F4-E524-4CD7-9958-FD5F89249861}
-8744114.3,4586703.61,20153,147922908,UVA TRANSITIONAL CARE HOSPITAL,2965 IVY ROAD,CHARLOTTESVILLE,VA,22903,NOT AVAILABLE,(434) 924-8245,LONG TERM CARE,OPEN,40,ALBEMARLE,51003,USA,38.0515001,-78.549715,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,http://uvahealth.com/services/transitional-care-hospital/referrals,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,40,NOT AVAILABLE,N,{415B655D-961F-45C1-8BB8-A3D2725538E4}
-9073672,4415884.61,20157,20424354,SOUTHWESTERN VIRGINIA MENTAL HEALTH INSTITUTE,340 BAGLEY CIRCLE,MARION,VA,24354,3390,(276) 783-1200,PSYCHIATRIC,OPEN,179,SMYTH,51173,USA,36.8332155,-81.510182,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.swvmhi.dbhds.virginia.gov/swvmhi/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,179,NOT AVAILABLE,N,{EFFCD66B-E8D4-4A56-9B46-289069FAECBA}
-8504006.2,4437180.81,20168,14223607,RIVERSIDE REHABILITATION INSTITUTE,245 CHESAPEAKE AVENUE,NEWPORT NEWS,VA,23607,NOT AVAILABLE,(757) 928-8000,REHABILITATION,OPEN,50,NEWPORT NEWS,51700,USA,36.9861813,-76.392787,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.riversideonline.com/rri/index.cfm,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,50,NOT AVAILABLE,N,{0C62E558-2AEC-4196-A532-97369FD96C87}
-8612139.6,4716261.86,20171,3620190,RESTON HOSPITAL CENTER,1850 TOWN CENTER PARKWAY,RESTON,VA,20190,NOT AVAILABLE,(703) 689-9020,GENERAL ACUTE CARE,OPEN,187,FAIRFAX,51059,USA,38.9622236,-77.364166,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,www.restonhospital.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,187,LEVEL II,Y,{A14C6C93-462D-4DA3-93E4-EE46D69FCEB1}
-8497268,4441247.74,20175,12523667,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,NOT AVAILABLE,(757) 722-9961,MILITARY,OPEN,485,HAMPTON,51650,USA,37.0153582,-76.332257,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.hampton.va.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,485,NOT AVAILABLE,N,{EEC1E483-30F1-4F14-ADBC-384354CF133B}
-8631700.6,4523687.66,20337,10123229,HENRICO DOCTORS' HOSPITAL,1602 SKIPWITH ROAD,RICHMOND,VA,23229,NOT AVAILABLE,(804) 289-4500,GENERAL ACUTE CARE,OPEN,340,HENRICO,51087,USA,37.6043794,-77.539886,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://henricodoctors.com/,NOT AVAILABLE,HENRICO DOCTORS HOSPITAL MAIN CAMPUS (FOREST),51,PROPRIETARY,-999,340,LEVEL II,Y,{4D35D94D-B7E9-408B-B9E7-C53840F5DFB4}
-8951312.9,4465233.16,20340,144624060,LEWISGALE HOSPITAL MONTGOMERY,3700 SOUTH MAIN STREET,BLACKSBURG,VA,24060,NOT AVAILABLE,(540) 951-1111,GENERAL ACUTE CARE,OPEN,146,MONTGOMERY,51121,USA,37.1872064,-80.411012,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.lewisgale.com,NOT AVAILABLE,MONTGOMERY REGIONAL HOSPITAL,51,NOT AVAILABLE,-999,146,LEVEL III,Y,{B787388E-2CFC-4252-8CBD-68E869451118}
